date,Open,Close,High,Low,Amount,Volume
2020-01-02,4.14,4.19,4.23,4.12,228161.28,1
2020-01-03,4.21,4.25,4.28,4.19,245709.54,1
2020-01-06,4.2,4.25,4.31,4.19,282472.25,1
2020-01-07,4.27,4.31,4.33,4.25,202896.05,1
2020-01-08,4.29,4.2,4.3,4.17,248981.0,1
2020-01-09,4.24,4.29,4.32,4.22,220425.99,1
2020-01-10,4.3,4.26,4.33,4.24,149933.85,1
2020-01-13,4.26,4.29,4.29,4.19,162886.49,1
2020-01-14,4.29,4.29,4.33,4.27,185265.11,1
2020-01-15,4.29,4.24,4.29,4.22,149469.91,1
2020-01-16,4.26,4.2,4.28,4.17,151183.95,1
2020-01-17,4.2,4.19,4.24,4.18,120782.81,1
2020-01-20,4.17,4.19,4.21,4.13,129764.6,1
2020-01-21,4.17,4.08,4.18,4.07,161826.66,1
2020-01-22,4.07,4.08,4.11,3.97,192644.1,1
2020-01-23,4.05,3.93,4.06,3.87,260866.74,1
2020-02-03,3.53,3.53,3.53,3.53,63191.0,1
2020-02-04,3.17,3.39,3.48,3.17,383442.03,1
2020-02-05,3.39,3.45,3.52,3.35,254345.55,1
2020-02-06,3.46,3.62,3.64,3.41,346793.59,1
2020-02-07,3.62,3.7,3.73,3.56,302209.16,1
2020-02-10,3.67,3.74,3.75,3.65,210879.33,1
2020-02-11,3.77,3.67,3.78,3.65,213000.95,1
2020-02-12,3.69,3.73,3.74,3.64,168562.88,1
2020-02-13,3.73,3.67,3.76,3.66,190763.52,1
2020-02-14,3.65,3.63,3.69,3.62,158621.35,1
2020-02-17,3.66,3.91,3.93,3.66,462475.77,1
2020-02-18,3.86,3.92,4.0,3.86,360421.77,1
2020-02-19,3.96,3.87,3.96,3.86,234317.44,1
2020-02-20,3.88,3.91,3.93,3.83,260178.45,1
2020-02-21,3.91,3.95,3.99,3.89,378797.43,1
2020-02-24,3.9,3.96,3.98,3.86,376648.99,1
2020-02-25,3.88,3.86,3.9,3.74,447859.35,1
2020-02-26,3.81,3.9,4.05,3.77,568619.01,1
2020-02-27,3.91,3.83,3.92,3.81,327014.77,1
2020-02-28,3.68,3.55,3.75,3.54,417356.94,1
2020-03-02,3.59,3.75,3.75,3.58,274020.62,1
2020-03-03,3.93,3.89,3.94,3.82,454192.42,1
2020-03-04,3.84,3.97,4.04,3.82,467185.77,1
2020-03-05,4.0,4.04,4.1,3.94,468166.8,1
2020-03-06,4.0,4.01,4.1,3.97,345888.97,1
2020-03-09,4.09,4.0,4.21,3.96,603064.98,1
2020-03-10,3.96,4.28,4.41,3.91,892308.8,1
2020-03-11,4.22,4.17,4.3,4.17,421358.47,1
2020-03-12,4.09,4.06,4.15,4.01,285753.56,1
2020-03-13,3.89,4.07,4.11,3.82,391083.08,1
2020-03-16,4.08,3.96,4.22,3.9,446467.56,1
